,sub,node,episode,label,r
369,sub-01,37,10,reappraisal,0.7944295208892601
370,sub-01,38,1,reappraisal,-0.06733652221767635
371,sub-01,38,2,control,0.22118003964140398
372,sub-01,38,3,control,0.44461576886632487
373,sub-01,38,4,reappraisal,0.17643183399701423
374,sub-01,38,5,control,0.13672830380298434
375,sub-01,38,6,reappraisal,0.15952118886559052
376,sub-01,38,7,reappraisal,0.18091113699698488
377,sub-01,38,8,control,-0.6495684766613785
378,sub-01,38,9,control,0.37232325235443636
379,sub-01,38,10,reappraisal,0.46256542111878646
380,sub-01,39,1,reappraisal,0.20671060172036793
381,sub-01,39,2,control,0.4137886913727073
382,sub-01,39,3,control,1.0871717041300855
383,sub-01,39,4,reappraisal,-0.34188777348421295
384,sub-01,39,5,control,-0.5177963445753551
385,sub-01,39,6,reappraisal,0.5402664621074719
386,sub-01,39,7,reappraisal,0.29370172500181346
387,sub-01,39,8,control,-0.41522278730675216
388,sub-01,39,9,control,0.383611851575317
389,sub-01,39,10,reappraisal,-0.02049288148440481
390,sub-01,40,1,reappraisal,0.33588409369728744
391,sub-01,40,2,control,0.9684558758966038
392,sub-01,40,3,control,0.6121143092569329
393,sub-01,40,4,reappraisal,0.24728609042158894
394,sub-01,40,5,control,-0.38967514453938357
395,sub-01,40,6,reappraisal,-0.15110198329615687
396,sub-01,40,7,reappraisal,0.2771646081613608
397,sub-01,40,8,control,-0.5103491556100804
398,sub-01,40,9,control,0.28038989655736046
399,sub-01,40,10,reappraisal,0.3199062217199986
400,sub-01,41,1,reappraisal,0.14545210757799779
401,sub-01,41,2,control,0.6106889525997516
402,sub-01,41,3,control,0.4439588194978846
403,sub-01,41,4,reappraisal,0.029213719069068004
404,sub-01,41,5,control,-0.346804828992794
405,sub-01,41,6,reappraisal,0.11340700943212982
406,sub-01,41,7,reappraisal,0.4984880318059539
407,sub-01,41,8,control,-0.42690979809446417
408,sub-01,41,9,control,0.358925003616859
409,sub-01,41,10,reappraisal,0.44952099906944143
410,sub-01,42,1,reappraisal,-0.5724675832298844
411,sub-01,42,2,control,0.7299225550264556
412,sub-01,42,3,control,-0.19853640349351076
413,sub-01,42,4,reappraisal,0.440738927968658
414,sub-01,42,5,control,-0.10566301699373422
415,sub-01,42,6,reappraisal,-0.6350586049939843
416,sub-01,42,7,reappraisal,0.817241782482509
417,sub-01,42,8,control,-0.12964376981690318
418,sub-01,42,9,control,0.2505472779410883
419,sub-01,42,10,reappraisal,-0.04123721674545285
420,sub-01,43,1,reappraisal,-0.5344077280304097
421,sub-01,43,2,control,0.8591793912012616
422,sub-01,43,3,control,-0.22438251873247056
423,sub-01,43,4,reappraisal,0.2910987689680852
424,sub-01,43,5,control,-0.01827650524445281
425,sub-01,43,6,reappraisal,-0.15940319048750312
426,sub-01,43,7,reappraisal,0.6068529795384537
427,sub-01,43,8,control,0.02573361694790201
428,sub-01,43,9,control,0.418375336056801
429,sub-01,43,10,reappraisal,-0.10863915618506499
430,sub-01,44,1,reappraisal,-0.1962463258020089
431,sub-01,44,2,control,0.7455738018581274
432,sub-01,44,3,control,0.4173460268561292
433,sub-01,44,4,reappraisal,0.26414626275517705
434,sub-01,44,5,control,-0.5387057915624542
435,sub-01,44,6,reappraisal,0.13902870673934006
436,sub-01,44,7,reappraisal,0.02508130667303833
437,sub-01,44,8,control,-0.21265821734825796
438,sub-01,44,9,control,0.19681911125454815
439,sub-01,44,10,reappraisal,0.24072691291035714
440,sub-01,45,1,reappraisal,-0.1347480228639219
441,sub-01,45,2,control,0.8868773065554574
442,sub-01,45,3,control,0.06942671606466425
443,sub-01,45,4,reappraisal,-0.4346656543694705
444,sub-01,45,5,control,-0.8321505429780331
445,sub-01,45,6,reappraisal,-0.36691040578632106
446,sub-01,45,7,reappraisal,0.49221779736424737
447,sub-01,45,8,control,-0.6397769391724425
448,sub-01,45,9,control,0.48124675374159964
449,sub-01,45,10,reappraisal,-0.24213927052823322
450,sub-01,46,1,reappraisal,-0.6841749610896407
451,sub-01,46,2,control,1.1099751413969627
452,sub-01,46,3,control,-0.1515022028493949
453,sub-01,46,4,reappraisal,0.18472284627452729
454,sub-01,46,5,control,-0.39189016927850767
455,sub-01,46,6,reappraisal,-0.12208342348464825
456,sub-01,46,7,reappraisal,0.2571082217447633
457,sub-01,46,8,control,-0.2645722834510689
458,sub-01,46,9,control,0.46381088843893803
459,sub-01,46,10,reappraisal,0.30239378199423983
460,sub-01,47,1,reappraisal,0.1331126112188421
461,sub-01,47,2,control,0.31890362898219443
462,sub-01,47,3,control,0.32661588442369627
463,sub-01,47,4,reappraisal,-0.044238667545923704
464,sub-01,47,5,control,-0.2601277645747666
465,sub-01,47,6,reappraisal,0.14483344752319863
466,sub-01,47,7,reappraisal,0.1115774622140893
467,sub-01,47,8,control,0.14404409779055702
468,sub-01,47,9,control,-0.013691710193107037
469,sub-01,47,10,reappraisal,-0.16081256402299457
470,sub-01,48,1,reappraisal,-0.20456714490575587
471,sub-01,48,2,control,0.5536910424012362
472,sub-01,48,3,control,0.2322492841593696
473,sub-01,48,4,reappraisal,-0.18756076155689927
474,sub-01,48,5,control,0.06410106953397256
475,sub-01,48,6,reappraisal,-0.051214355821080464
476,sub-01,48,7,reappraisal,-0.3516087160898977
477,sub-01,48,8,control,-0.23694324840585815
478,sub-01,48,9,control,-0.21872983039727867
479,sub-01,48,10,reappraisal,0.3485404557374296
480,sub-01,49,1,reappraisal,0.29654881367065655
481,sub-01,49,2,control,0.09788792808010838
482,sub-01,49,3,control,0.13487922871814637
483,sub-01,49,4,reappraisal,-0.22951287876571447
484,sub-01,49,5,control,-0.22854425070196388
485,sub-01,49,6,reappraisal,-0.15043454735258385
486,sub-01,49,7,reappraisal,0.59530566812234
487,sub-01,49,8,control,0.012312312391109245
488,sub-01,49,9,control,0.032554177608904764
489,sub-01,49,10,reappraisal,-0.4038984597718466
490,sub-01,50,1,reappraisal,0.06354854666071537
491,sub-01,50,2,control,0.3948702698897457
492,sub-01,50,3,control,0.5146600018262752
493,sub-01,50,4,reappraisal,-0.2983181490778485
494,sub-01,50,5,control,-0.004162513328251003
495,sub-01,50,6,reappraisal,0.1786926227688734
496,sub-01,50,7,reappraisal,0.02569975385836033
497,sub-01,50,8,control,-0.393218733201932
498,sub-01,50,9,control,0.3948372207939302
499,sub-01,50,10,reappraisal,0.056852331397664484
