,node,L2_more_than_0_t,L2_more_than_0_p,L2_more_than_0_q,L1_slope_pos_estimate,L1_slope_pos_p,L1_slope_pos_q,L2_more_than_L1_t,L2_more_than_L1_p,L2_more_than_L1_q,L2_slope_pos_estimate,L2_slope_pos_p,L2_slope_pos_q,L1_slope_more_L2_estimate,L1_slope_more_L2_p,L1_slope_more_L2_q,L1_steve_slope_estimate,L1_steve_slope_p,L1_steve_slope_q,L2_steve_slope_estimate,L2_steve_slope_p,L2_steve_slope_q
91,92,387,0.202574223090778,0.5165642688814839,0.0054079471801501,8.47923584794502e-10,4.804900313835511e-09,355,0.369286955654388,0.6074087190139664,0.0017453137182747,0.0379111715531546,0.18413997611532235,0.0018313167309376,0.0024943182295423,0.0060576299860313,-0.0037587080698836,0.0014772614425757,0.012556722261893449,-0.000519800416801,0.658753507875013,0.8959047707100176
93,94,323,0.564714762047515,0.856225925446779,0.0060576822875576,1.29520456422268e-13,3.3027716387678342e-12,342,0.447534092847491,0.6423184025279138,0.0005537486135447,0.477062522674213,0.760318395512027,0.0027519668370064,1.02764823181596e-06,1.7470019940871322e-05,-0.0036574332181374,0.0007545726490019,0.008551823355354865,-0.0008637584272649,0.407195181549432,0.8671420800140424
94,95,304,0.676563475295552,0.8641796008771718,0.0066438109244825,7.2095346830278e-09,3.197271902907981e-08,309,0.648162024328485,0.7108873815215643,0.0005134087203206,0.62149161211457,0.8797410295972748,0.0030652011020809,7.7733152994302e-05,0.0005663415432442002,-0.0045885298876619,0.0029229595737232,0.021295848322840455,0.0006395992378593,0.652947938341683,0.8959047707100176
95,96,258,0.88063402834814,0.9165782744031661,0.0056618752691551,5.71416418097463e-09,2.6492943020882376e-08,286,0.769941191480029,0.7853400153096296,0.0026119371408755,0.0041729315760545,0.03546991839646325,0.0015249690641398,0.0220374225483857,0.03374119411693951,-0.0018593507530958,0.159440385134186,0.2515453863045961,-0.0013590896918992,0.274541671502462,0.83036660395404
96,97,357,0.357622625742806,0.7533453895349516,0.0061200515948885,2.3960797290405e-11,2.7016012230983583e-10,401,0.146377308483352,0.5800669573413271,0.0010887623929864,0.209842562619663,0.5319376703818912,0.002515644600951,6.54936267908567e-05,0.000513873071743645,-0.0031875028862664,0.0110278453269225,0.0440192214952738,0.000381004060063,0.745624893367083,0.9119432629508449
97,98,428,0.0694925171555951,0.32750921928875526,0.0070067279658925,1.77052808798585e-13,3.6118772994911343e-12,504,0.0031605358090018,0.3223746525181836,0.0001216625582536,0.892962189565345,0.9443240449805582,0.0034425327038194,1.51346297132691e-07,5.145774102511494e-06,-0.0022799156506054,0.0810693816773999,0.15943281827583114,0.0009795246252068,0.441267148865282,0.8671420800140424
98,99,417,0.0959971069823951,0.34181060787614137,0.0054328378557157,5.67946161665012e-06,9.496804670464135e-06,371,0.280063262936892,0.5800669573413271,0.00143722038114,0.202781033134906,0.5319376703818912,0.0019978087372878,0.0149735875991965,0.024633966695452307,-0.0008167875417368,0.606020037207549,0.6718917803822826,0.00028553015584,0.859515393001775,0.9553967213259424
99,100,295,0.725158829794964,0.8641796008771718,0.0065758627109658,2.53380051427019e-11,2.7016012230983583e-10,380,0.234829279725091,0.5800669573413271,0.0022076834830515,0.0179930517100339,0.11470570465146611,0.0021840896139571,0.0012645920156111,0.003602141274023733,-0.0024870424617636,0.0634686427581296,0.14372781148146008,-0.001064318353719,0.418394066611833,0.8671420800140424
100,hippocampus_L,332,0.509284062878578,0.8510693470770997,0.0046807513390864,3.70336988840718e-09,1.888718643087662e-08,381,0.230058808519971,0.5800669573413271,0.0004568958220751,0.543425301016531,0.7988336477722698,0.0021119277585056,0.0001127137012908,0.00071854984572885,-0.0021149756583516,0.0473248724422766,0.11773504851493202,2.39148477746427e-05,0.981914436967439,0.9928729111529907
101,hippocampus_R,291,0.745566714482266,0.8641796008771718,0.003852691219916,1.90132488835478e-06,3.80264977670956e-06,340,0.459831954081892,0.6423184025279138,0.000460857135322,0.512294329480939,0.7684414942214085,0.0016959170422969,0.0016129163724134,0.004329407104899126,-0.000813153132981,0.436950591493112,0.5122869003712348,-0.0001455291144816,0.884242812970201,0.9553967213259424
